42.41	35.47	2.23
41.90	35.80	2.31
41.21	36.25	2.43
40.46	36.72	2.56
39.75	37.12	2.67
39.18	37.35	2.75
38.88	37.32	2.77
38.81	36.95	2.73
38.90	36.34	2.64
39.10	35.61	2.53
39.37	34.89	2.41
39.66	34.31	2.30
39.92	33.99	2.22
40.24	33.96	2.16
40.63	34.13	2.11
41.03	34.40	2.07
41.41	34.68	2.02
41.71	34.85	1.98
41.87	34.83	1.93
41.84	34.54	1.87
41.65	34.06	1.81
41.39	33.51	1.74
41.15	32.99	1.68
41.01	32.63	1.64
41.04	32.53	1.62
41.32	32.72	1.64
41.77	33.11	1.67
42.31	33.64	1.73
42.85	34.26	1.79
43.31	34.93	1.86
43.58	35.59	1.94
43.66	36.36	2.01
43.60	37.31	2.11
43.46	38.30	2.20
43.28	39.21	2.30
43.11	39.90	2.39
43.02	40.24	2.45
42.96	40.12	2.50
42.88	39.60	2.55
42.81	38.85	2.58
42.80	38.05	2.60
42.86	37.38	2.60
43.05	37.01	2.57
43.41	37.01	2.51
43.94	37.24	2.41
44.56	37.61	2.29
45.19	38.02	2.16
45.75	38.38	2.03
46.18	38.58	1.91
46.45	38.58	1.79
46.63	38.46	1.66
46.74	38.27	1.54
46.79	38.07	1.42
46.82	37.93	1.32
46.84	37.90	1.24
46.79	38.02	1.18
46.63	38.24	1.14
46.43	38.52	1.12
46.28	38.82	1.11
46.25	39.09	1.11
46.43	39.30	1.11
46.94	39.44	1.13
47.76	39.58	1.17
48.71	39.69	1.21
49.64	39.76	1.26
50.37	39.76	1.31
50.73	39.67	1.34
50.61	39.47	1.37
50.12	39.15	1.41
49.41	38.76	1.44
48.64	38.35	1.46
47.98	37.99	1.47
47.58	37.72	1.47
47.48	37.57	1.43
47.54	37.50	1.36
47.70	37.47	1.28
47.93	37.45	1.20
48.17	37.41	1.16
48.37	37.32	1.18
48.56	37.15	1.26
48.81	36.92	1.41
49.06	36.67	1.58
49.28	36.45	1.76
49.43	36.28	1.92
49.46	36.23	2.04
49.35	36.32	2.13
49.12	36.52	2.21
48.83	36.79	2.27
48.51	37.06	2.30
48.22	37.26	2.28
48.00	37.35	2.20
47.83	37.28	2.02
47.67	37.10	1.75
47.53	36.88	1.45
47.43	36.67	1.15
47.36	36.55	0.91
47.36	36.58	0.78
47.44	36.79	0.76
47.59	37.12	0.81
47.79	37.52	0.92
47.97	37.93	1.04
48.11	38.31	1.15
48.16	38.60	1.24
48.10	38.88	1.31
47.97	39.16	1.39
47.81	39.40	1.46
47.67	39.56	1.52
47.59	39.61	1.56
47.63	39.49	1.57
47.81	39.11	1.54
48.07	38.53	1.48
48.38	37.89	1.41
48.65	37.31	1.34
48.84	36.92	1.27
48.88	36.83	1.23
