26.54	35.16	0.55
26.73	34.90	-0.14
27.06	34.93	-0.56
27.40	35.28	-0.55
27.65	35.86	-0.27
27.79	36.49	0.01
27.90	37.00	0.09
28.14	37.35	-0.04
28.57	37.59	-0.21
29.10	37.76	-0.30
29.52	37.79	-0.29
29.60	37.60	-0.25
29.29	37.17	-0.23
28.73	36.61	-0.19
28.17	35.99	-0.05
27.85	35.37	0.22
27.90	34.69	0.56
28.24	33.96	0.88
28.68	33.23	1.13
28.95	32.60	1.38
28.90	32.22	1.68
28.58	32.18	1.96
28.26	32.49	2.11
28.21	32.98	2.04
28.54	33.39	1.84
29.12	33.57	1.66
29.74	33.53	1.60
30.24	33.43	1.63
30.62	33.43	1.68
30.97	33.52	1.73
31.33	33.61	1.83
31.65	33.61	2.02
31.82	33.46	2.20
31.75	33.18	2.23
31.48	32.83	1.96
31.20	32.53	1.45
31.16	32.35	0.87
31.45	32.28	0.41
31.95	32.23	0.17
32.38	32.09	0.14
32.56	31.89	0.20
32.45	31.71	0.26
32.22	31.62	0.29
31.96	31.62	0.27
31.70	31.63	0.22
31.43	31.67	0.14
31.19	31.80	0.09
31.10	32.03	0.19
31.28	32.26	0.56
31.72	32.29	1.20
32.32	32.05	1.85
32.90	31.66	2.19
33.27	31.35	2.01
33.35	31.25	1.40
33.18	31.28	0.69
32.92	31.25	0.20
32.80	31.02	0.05
32.90	30.65	0.11
33.14	30.30	0.21
33.35	30.09	0.26
33.43	30.01	0.28
33.47	29.96	0.33
33.60	29.83	0.42
33.93	29.58	0.46
34.39	29.24	0.37
34.80	28.83	0.14
35.05	28.42	-0.12
35.17	28.11	-0.27
35.28	28.01	-0.24
35.54	28.12	-0.08
35.97	28.29	0.10
36.46	28.29	0.19
36.85	27.99	0.12
36.98	27.47	-0.09
36.85	26.97	-0.40
36.51	26.68	-0.72
36.12	26.59	-0.94
35.81	26.58	-1.06
35.67	26.49	-1.09
35.70	26.25	-1.12
35.87	25.90	-1.12
36.10	25.54	-1.01
36.32	25.27	-0.71
36.45	25.12	-0.24
36.42	25.05	0.35
36.20	24.97	0.99
35.84	24.87	1.62
35.50	24.79	2.15
35.32	24.75	2.42
35.31	24.69	2.29
35.33	24.54	1.81
35.22	24.31	1.15
34.99	24.08	0.49
34.81	23.92	-0.11
34.86	23.84	-0.63
35.16	23.74	-1.03
35.50	23.56	-1.21
35.63	23.32	-1.15
35.46	23.04	-0.92
35.16	22.77	-0.63
34.95	22.50	-0.35
35.03	22.22	-0.11
35.38	21.90	0.06
35.88	21.52	0.12
36.37	21.11	0.07
36.74	20.73	0.03
36.95	20.47	0.11
37.05	20.40	0.36
37.15	20.48	0.66
37.27	20.56	0.90
37.38	20.49	0.97
37.34	20.21	0.94
37.07	19.87	0.90
36.68	19.68	0.93
36.36	19.77	1.01
36.27	20.03	1.02
36.37	20.17	0.86
36.52	19.97	0.52
36.59	19.44	0.18
36.61	18.83	0.06
36.73	18.42	0.26
37.03	18.32	0.70
37.47	18.40	1.15
37.88	18.43	1.36
38.10	18.29	1.26
38.05	17.99	0.98
37.75	17.67	0.73
37.32	17.46	0.65
36.90	17.36	0.72
36.59	17.23	0.84
36.50	16.98	0.93
36.67	16.60	0.94
37.07	16.20	0.90
37.53	15.93	0.83
37.88	15.84	0.70
38.01	15.86	0.49
37.90	15.89	0.18
37.69	15.86	-0.13
37.50	15.75	-0.28
37.42	15.53	-0.22
37.50	15.20	-0.02
37.74	14.76	0.16
38.07	14.30	0.26
38.36	13.94	0.36
38.51	13.70	0.52
38.50	13.55	0.72
38.40	13.37	0.84
38.32	13.16	0.82
38.37	12.94	0.72
38.59	12.77	0.65
38.96	12.63	0.62
39.39	12.47	0.54
39.70	12.24	0.40
39.72	11.98	0.25
39.45	11.79	0.18
39.04	11.74	0.25
38.66	11.83	0.42
38.44	11.97	0.62
38.42	12.09	0.74
38.58	12.10	0.68
38.83	12.01	0.40
39.04	11.81	-0.01
39.08	11.54	-0.36
38.91	11.23	-0.50
38.65	10.90	-0.47
38.53	10.60	-0.41
38.65	10.36	-0.45
38.96	10.22	-0.59
39.28	10.15	-0.70
39.48	10.05	-0.61
39.51	9.78	-0.27
39.41	9.29	0.19
39.20	8.71	0.59
38.91	8.28	0.78
38.55	8.18	0.76
38.16	8.36	0.65
37.83	8.59	0.57
37.64	8.64	0.55
37.61	8.44	0.54
37.69	8.08	0.43
37.79	7.72	0.23
37.82	7.45	0.03
37.78	7.33	-0.04
37.75	7.35	0.06
37.75	7.44	0.23
37.81	7.47	0.40
37.90	7.37	0.51
38.02	7.12	0.62
38.14	6.84	0.78
38.22	6.61	1.01
38.17	6.47	1.28
37.98	6.39	1.52
37.67	6.35	1.64
37.34	6.33	1.58
37.08	6.28	1.37
36.94	6.15	1.05
36.92	5.92	0.73
37.01	5.67	0.44
37.19	5.48	0.23
37.45	5.36	0.15
37.71	5.25	0.24
37.85	5.09	0.45
37.80	4.91	0.63
37.55	4.77	0.64
37.24	4.72	0.48
37.00	4.71	0.30
